! ("！")
" ("“”")
kzty ("电疗")
kzua ("电灯")
kzuc ("𣉚")
kzue ("电瓶")
kzug ("顯")
kzuk ("电焊" "𠠁")
kzum ("非线性失真")
kzur ("歞" "𪈚")
kzut ("电料")
kzuw ("电炉")
kzv ("电")
kzvg ("电源")
kzvh ("电汇")
kzvs ("电流")
kzvv ("电")
kzvw ("电学")
kzvx ("电波")
kzvy ("电池")
kzwb ("累进")
kzwl ("电视")
kzwn ("光纤通信")
kzwo ("电容")
kzwy ("电扇")
kzxk ("电函")
kzxs ("㫞")
kzxv ("鸭绿江")
kzxy ("曏")
kzya ("电子")
kzyj ("累加" "电贺")
kzyl ("电阻")
kzym ("电力" "累及")
kzyn ("电费")
kzyp ("电弧")
kzz ("顯" "𣊡")
kzzb ("省纺织工业局")
kzzf ("𣋵")
kzzh ("电线")
kzzi ("昢" "𣅽")
kzzj ("电台")
kzzk ("电缆")
kzzq ("电能")
kzzs ("日以继夜")
kzzu ("㬎")
kzzy ("𣅺")
l ("用")
la ("目")
laab ("𥉢")
laae ("𥅳")
laag ("网开一面")
laam ("财政政策")
laar ("盯死")
labe ("典型示范")
labw ("财政赤字")
labz ("目击")
lad ("盱")
ladb ("财政拨款")
ladv ("目的")
lae ("岍" "䀘")
laed ("盰")
laez ("财政支出")
laf ("眜")
lafb ("目标")
lag ("嵿")
lagd ("䀖")
lagj ("幅面")
lagy ("刚正不阿")
lah ("赋" "賦")
lai ("盯")
laib ("罚下场")
laig ("财政厅")
laii ("眐")
laij ("见下图")
lais ("财政部")
lait ("县政府")
laix ("财政局")
laj ("幅" "𥉅")
lajl ("幅员" "𥉅")
laju ("𥆖")
lak ("赇" "𥅏")
lakg ("目光")
laki ("财政监督")
lako ("𥄚")
laku ("𥉬")
lakw ("𢝝")
lalb ("目睹")
lali ("𥄔")
lall ("𥄝")
lalo ("眪" "𥅙")
lalq ("岢岚")
lalt ("矖")
lalz ("盱眙")
lamh ("睫毛")
lamt ("财政年度")
lamu ("赋税")
land ("𥄊")
lanu ("四百米")
lao ("𥄚")
laok ("骨干企业")
laom ("四平八稳")
laoo ("罪恶行径" "𥌃" "𥇑")
lard ("𥄙")
larf ("财政危机")
lark ("𥆁")
lasb ("赋诗")
lasf ("典型调查")
last ("财政部门")
latt ("财政状况")
latv ("幅度")
lauq ("目前")
lava ("同一天")
lawb ("用武之地")
lawe ("幅宽")
lawl ("财政补贴")
lawu ("目送")
lawv ("瞒天过海")
lax ("睫")
laxa ("𥈂")
laxi ("睫")
laxk ("目录")
laxm ("财政预算")
laxx ("赋予")
layb ("败下阵来")
layk ("骨干力量")
laz ("屿" "䀎")
laza ("𪿍")
lazn ("𥆆")
lazo ("财政收入")
lazv ("财政经济")
lazy ("眄")
lazz ("𥄆")
lb ("黑")
lbae ("周刊")
lbaf ("周末")
lbag ("黑天")
lbav ("周一")
lbaz ("𥆮")
lbb ("墨" "眭")
lbba ("眭")
lbbd ("周二")
lbbg ("䁱")
lbbi ("罢工")
lbbw ("𥉖")
lbbx ("周五")
lbby ("赌场")
lbcd ("周三")
lbch ("周长" "署长")
lbcs ("黑斑" "墨玉")
lbcy ("默契")
lbd ("峙")
lbdp ("周折")
lbdy ("周报")
lbef ("赌博" "四项基本原则")
lbek ("黑幕" "周朝")
lbel ("黔南")
lbeq ("周期")
lbfj ("黔西")
lbfk ("赌棍")
lbfp ("黑板")
lbg ("默")
lbgo ("䁰")
lbhb ("周转")
lbhk ("周到")
lbi ("𥃿" "𥃽")
lbia ("𥆮")
lbj ("周")
lbja ("周口")
lbjb ("周围")
lbjd ("𥌆")
lbjj ("赌咒")
lbju ("𪿪")
lbk ("眎" "𥅭" "𥅨")
lbka ("周日")
lbkg ("𩔠")
lbkn ("𩴈")
lbko ("眛")
lbks ("黑暗" "黑影")
lbkv ("墨水" "睐")
lbl ("贖")
lblb ("默默" "黝黑")
lblk ("周四")
lbll ("黑山" "𥌚")
lblm ("瞌睡")
lblo ("𥌪" "𥈿")
lblz ("黟县")
lbm ("睹")
lbmf ("黑箱")
lbmm ("周年")
lbmw ("黑管")
lbmy ("赌气")
lbn ("雕")
lbnf ("黑体" "罢休")
lbni ("𥊖")
lbnk ("黑白")
lbno ("𥋿")
lbnr ("雕像")
lbo ("睦" "𥆥")
lbob ("睦" "赌徒")
lbod ("黑人" "𥄑")
lbof ("𥌦")
lbok ("𥋋")
lbol ("瞡")
lboo ("峡谷")
lbor ("睖")
lbow ("睦邻")
lbqr ("黑狗")
lbqs ("𥊝")
lbqu ("墨脱")
lbr ("睦")
lbrd ("盶")
lbrg ("黯然" "默然")
lbrj ("署名" "罢免")
lbrk ("𥉙")
lbrl ("𥊏")
lbry ("黑色")
lbsj ("默哀")
lbsk ("罢课")
lbsl ("黑市" "罢市")
lbsm ("周旋" "默许")
lbsn ("黑夜")
lbso ("默认" "周六")
lbsy ("周记")
lbsz ("雕刻")
lbu ("點" "峡")
lbub ("䁄")
lbuj ("瞦")
lbuo ("墨粉" "𥅴")
lbuq ("𥊝")
lbuz ("雕塑")
lbvb ("黔江" "峡江" "墨江")
lbve ("墨汁")
lbvl ("黑洞")
lbvv ("𥃾")
lbwa ("默写" "周宁")
lbwn ("同志们")
lbwr ("黑客")
lbww ("周密")
lbwy ("周边")
lbwz ("黑心")
lbx ("幬" "𥄬")
lbxa ("黑马")
lbxi ("山坡上")
lbxj ("𥆐")
lbya ("黑子" "𥆔")
lbyk ("黔阳")
lbyv ("罢了")
lbz ("罢" "瞌" "𥉝" "𥃳")
lbzb ("目击者")
lbzi ("𥅅")
lbzl ("瞌")
lbzs ("眃")
lbzx ("墨绿")
lbzy ("䀷")
lc ("且")
lcbb ("账款")
lcbm ("助理工程师")
lccc ("𥍉")
lcd ("帱")
lcdb ("网球场")
lcdq ("网球肘" "𠢟")
lce ("眲")
lcfa ("账本")
lcgc ("四环素")
lcgj ("账面")
lcgo ("䪶")
lch ("帐" "账" "賬" "𥇔")
lci ("盽")
lcio ("账龄")
lcja ("账号")
lck ("𥅦")
lckd ("刞")
lckr ("𪃷")
lcl ("幘" "帻")
lcla ("账目")
lclk ("𥍙")
lcll ("𠁠")
lclo ("瞔")
lclr ("𧠢")
lcmf ("𥉜")
lcmv ("账簿")
lcmw ("帐篷")
lcmy ("眼珠子")
lcmz ("縣")
lcnb ("𥊎")
lcni ("雎")
lcnj ("贩毒集团")
lco ("具" "睶")
lcoa ("睶")
lcof ("㮂" "䡞")
lcoy ("贩毒分子")
lcoz ("䋰")
lcq ("睛")
lcqs ("𠢟")
lcrh ("䁃")
lcrz ("鴡")
lcsl ("𢄂")
lcu ("罵" "𥉊")
lcuk ("账单")
lcvj ("山珍海味")
lcwm ("账户")
lcws ("账房")
lcxi ("𤿚")
lcxw ("罪责难逃")
lcxy ("内聚力")
lcy ("䢸")
lcyl ("𢃃")
lcym ("助")
lcyz ("𥊯")
lcz ("𪿣" "𥆍")
lczi ("𧔤")
lczr ("𪈉")
lczs ("县")
lczw ("悬" "懸")
lczy ("𨜇")
ld ("同")
lda ("𠔼" "𠀇" "𠀃")
ldaa ("冂" "𠀇" "𠀃")
ldae ("䍑" "𦋃" "𦉻")
ldai ("财政" "𠕊")
ldaj ("𦊭" "𦊪")
ldak ("𣌧" "𡮧")
ldal ("𫇯" "𧷅" "𡸭")
ldao ("㒷" "𦋭")
ldaq ("𠕔")
ldav ("同一")
ldb ("冉" "𡉮")
ldbb ("𦊱" "𡆨")
ldbd ("冄" "冃" "𦌍" "𡬬" "𡬥")
ldbg ("𩑺" "𩑞")
ldbi ("用")
ldbj ("周")
ldbk ("𤱣" "𣆩" "𣅾" "𠠊" "𠜂" "𠕙")
ldbm ("𦋧" "𣬭")
ldbo ("𥆭")
ldbu ("𦡇")
ldbw ("同志" "𪓚" "𪓘")
ldbx ("同声")
ldby ("𨚿" "𨚗" "𨙻" "𡦝" "𠄗")
ldbz ("甩" "𦚒" "𦊍" "𦉿")
ldcj ("𠱬" "𠕛")
ldck ("同理")
ldcu ("同班" "𦋻")
lddj ("同事")
lde ("冊" "𢌺" "𠕋" "𠕁")
ldeb ("𦌎")
ldej ("𪞐" "𦊟" "𦊖")
ldek ("刪" "𣌧")
ldel ("𦡛" "𦋘")
ldeo ("典" "𦍅")
ldeq ("同期")
ldf ("𦊋" "𣑸" "𣏷" "𣎻")
ldfd ("𫇭")
ldff ("𦋗")
ldfu ("同样" "𤑇")
ldfx ("财权")
ldgc ("𩢥")
ldgd ("央")
ldgi ("𫋨")
ldgj ("𦋑")
ldgl ("盎" "𡘦")
ldgo ("败事有余" "𩒗")
ldgr ("鸯" "鴦" "𩿶")
ldgt ("𠖼")
ldgv ("同在")
ldgw ("𪓛" "𢘲")
ldgx ("㿮" "𫇠")
ldha ("同感")
ldhm ("戙")
ldhs ("㢥")
ldhz ("𦊉")
ldia ("円")
ldic ("𦌯")
ldii ("𣥙" "𠕲")
ldij ("𠕟")
ldik ("同步")
ldiv ("同上")
ldix ("𦌤" "𢽧" "𢼱")
ldj ("冋")
ldja ("䍞")
ldjd ("财团")
ldji ("𦍊" "𦌱" "𦋱")
ldjj ("𠵁")
ldjk ("㓮")
ldjn ("雕")
ldjo ("𩟨" "𠉁")
ldjp ("彫")
ldjq ("𦋀" "𣍼")
ldjr ("同路" "鵰" "㖯" "𫜸" "𦍃")
ldjs ("𧨣")
ldjw ("週" "𢛇" "𠕡")
ldjy ("郮" "𨚉" "𠕕")
ldk ("𠕌")
ldka ("同日" "䍏" "𩐇")
ldkb ("𦌜")
ldkc ("𦋛")
ldkd ("同时" "刚" "剛" "𦉫" "𡬼" "𠝾" "𠝴" "𠜛" "𠛧")
ldke ("𦋚" "𦋇")
ldkg ("𦟦")
ldkm ("𦙧")
ldko ("𪏎" "𪎼")
ldkq ("同盟")
ldku ("同业")
ldkv ("𠕒")
ldkw ("同党" "𦋮")
ldkz ("𫝹" "𦜽" "𦌑" "𦌌" "𦋙" "𦊣")
ldlc ("𦊩" "𦊨" "𦊕")
ldld ("冎" "𣇱" "𢃹" "𠔽")
ldlk ("𦌝" "𦌘" "𥁎")
ldll ("𤰌" "𡵠")
ldlo ("𧵽")
ldlq ("𦌄")
ldlr ("𧠓" "𧠊")
ldlz ("𦋘")
ldm ("财" "財")
ldmb ("同等")
ldmf ("𦊘")
ldml ("𧖳")
ldmm ("同年")
ldmr ("财物")
ldmu ("财税")
ldmw ("䶲")
ldni ("𨿺" "𦋜")
ldnr ("𦋌" "𠒯")
ldnu ("同伴")
ldo ("网")
ldoa ("𦉯")
ldob ("财会" "𦚓")
ldoc ("𦟖" "𤣼")
ldod ("内" "內" "同人" "𠔿")
ldoe ("𢌷")
ldoi ("同行")
ldoj ("冏" "㕯")
ldok ("𪨌" "𣇺")
ldol ("觍" "覥" "𡶬")
ldom ("敟" "𦧘" "𠕨")
ldon ("𦞱")
ldoo ("网" "肉" "㒳" "𦛂" "𠕎")
ldoq ("䐌" "𦘾")
ldos ("冈" "罓" "𦉸")
ldou ("𦚓")
ldox ("𦚆" "𦋕" "𤿶" "𤿏")
ldoy ("𨛇" "𡥳")
ldoz ("㒺" "𦘽" "𦋟" "𦁒" "𣌩" "𠕈" "𠃾")
ldpd ("䁀" "䀿" "𦛷")
ldpe ("同质")
ldpj ("𥉭")
ldps ("𦊡")
ldpy ("𦋵" "𦋄")
ldq ("𦊌" "𣎁" "𣍸")
ldqk ("𦋢")
ldqr ("同胞")
ldqs ("𦘾" "𥅿")
ldqy ("𥅿")
ldrc ("𦜁")
ldrd ("𦉪")
ldri ("𧐰")
ldrj ("𦛃" "𦊹")
ldrk ("同乐")
ldrl ("𠕬")
ldrm ("𦌳")
ldrn ("𦞉" "𦜿")
ldro ("𩞺")
ldrr ("𦋼" "𦉮" "𣬑")
ldrs ("财贸" "𦋩")
ldru ("𦌲")
ldrw ("𪚻" "𪚮")
ldry ("财务" "䒋" "𦊠" "𦊗")
ldrz ("𪀭" "𩿾")
lds ("𧧧" "𥃷")
ldsc ("财主" "𦊝")
ldsd ("𡬻")
ldsh ("𦊀" "𦉽" "𦉺" "𠕃")
ldsi ("𦌼")
ldsj ("𠕑")
ldsk ("同意" "𦋫")
ldsm ("财产")
ldsr ("𦊶" "𦊬")
ldsu ("𤌔")
ldsy ("𦋬")
ldtn ("财阀")
ldtx ("𦌏")
ldua ("𦉰")
lduc ("同情")
lduf ("𦊮")
ldug ("同类")
lduk ("𦌞" "𠕚")
ldul ("岡" "𦞊")
ldum ("同性" "𦌓")
ldun ("𦌐")
ldus ("罔")
lduy ("𦝘")
lduz ("𠕏")
ldv ("赇" "賕")
ldvb ("目的地")
ldvg ("财源")
ldvk ("𠕘")
ldvs ("𥆿")
ldvw ("同学")
ldvz ("同治")
ldw ("迥" "迵")
ldwa ("财富")
ldwb ("财运")
ldwc ("财宝")
ldwf ("𣐷")
ldwk ("财神")
ldwr ("𦡝")
ldwu ("同道" "财迷" "𫇢")
ldwx ("𪓙")
ldwy ("𦊦" "𢘖")
ldwz ("同心" "同安" "财礼" "𦛅" "𢝯" "𢘼" "𢘁")
ldxb ("𦞘")
ldxe ("同居")
ldxg ("𩓔")
ldxh ("同屋")
ldxk ("羀" "帕拉马里博" "𦋔")
ldxr ("𫇑")
ldxs ("𡱸" "𠬸" "𠕀")
ldxu ("同屏" "𦌨")
ldxx ("𦋖" "𦉳" "𥀙")
ldxz ("𫅸")
ldy ("𨚯")
ldyh ("𦊞")
ldyi ("𦙢")
ldym ("财力" "𠡋")
ldyo ("财险")
ldys ("㼜" "𤭹" "𤭛" "𤭄" "𤭁" "𤬺" "𤬶")
ldyu ("𤆙")
ldyy ("囘" "翢" "䎃" "𦐎")
ldz ("甩" "𠃾")
ldzm ("𡜝")
ldzn ("𦌴" "𠕪")
ldzo ("𦋟" "𦁒" "𣌩")
ldzq ("𦊰")
ldzs ("禸")
ldzx ("财经")
ldzy ("同级" "𦛶")
ldzz ("同乡" "𠕐")
le ("置")
lea ("瞒" "髒")
lead ("置于")
leae ("典型")
leag ("矇")
leaj ("𥉌")
leak ("𥈣")
leaw ("𥊸")
lebo ("䁧")
lec ("羈")
led ("𥃪")
ledb ("罗斯托夫")
ledk ("羁押")
ledr ("置换")
ledu ("四十米")
lee ("幩")
leeb ("瞱")
leee ("同甘共苦")
leej ("典故")
leen ("内蒙古自治区")
leev ("典范")
lefb ("置标")
leg ("羇")
legc ("嵌套")
legj ("睰")
legn ("黔南布依族苗族自治州")
lehn ("典雅")
lehs ("䁾")
lehw ("贮藏室")
lej ("睵" "䀦")
lejj ("赎回")
lejn ("矔")
lek ("瞄")
lekb ("𥋾")
lekg ("瞙")
leki ("瞄")
leku ("置业")
lel ("購" "巅")
lelb ("𥉇")
leld ("𥈶")
lelg ("䁐")
lelk ("赎罪")
lell ("崂山" "𥈞")
lelo ("瞋")
lelt ("置若罔闻")
lemc ("典籍")
leme ("山茱萸")
leml ("𥍍")
lenc ("置身")
lens ("置信")
lenx ("矆" "𥍜")
leo ("典")
leoa ("䀧")
leob ("𥈻")
leod ("嵌入")
leoe ("𥊊")
leoo ("瞒" "瞞")
leoy ("𥈩")
leqm ("𥋌")
leqo ("周期律")
lequ ("周期性")
ler ("嵌")
lerj ("𥋷")
lerm ("置疑")
lerr ("𥍇" "𥆈")
leru ("𥍂")
lese ("䁳")
lesh ("𥇀")
lesn ("𥉂")
letn ("瞄准")
levv ("𥃲")
lew ("嵘" "嵽")
lewe ("内蒙古")
lewf ("悬索桥")
lewl ("矒" "𪿧")
lewr ("𥌋")
lewz ("典礼")
lex ("赎" "岐")
lexs ("𥄏")
lexu ("周期函数")
leys ("𥌯")
lez ("嵁" "𥅋")
lezf ("瞸" "䁋" "𥍐")
lezk ("𫖿")
lezm ("眼花缭乱")
lezu ("羁绊")
lf ("同样")
lfab ("墨西哥城")
lfb ("瞟" "䀯")
lfbb ("𥉯")
lfbk ("瞟" "𥋠" "𥈡")
lfbm ("贴标签")
lfbp ("见票后")
lfbu ("𥋄")
lfcc ("岩棉玻璃棉")
lfd ("赙" "賻" "𥆺")
lfds ("䁣")
lff ("𪿛")
lffb ("𥋴")
lffg ("𥌞")
lfgl ("𥌎")
lfj ("䀳" "𥆪")
lfja ("墨西哥")
lfje ("黔西南")
lfjj ("𥌼")
lfjk ("山西省" "𥈙")
lfjl ("𥍑")
lfk ("崠")
lfke ("瞫")
lfki ("𥋸")
lfkl ("罗霄山")
lflk ("𥈵")
lflm ("𣰧")
lflo ("𥋣")
lfmc ("目标管理")
lfmh ("𣮰")
lfni ("矐")
lfnv ("岩棉保温板")
lfo ("崧")
lfoo ("睞")
lfow ("𥋞")
lfp ("嶄")
lfpd ("䁪" "𥇦")
lfro ("𥊡")
lfs ("𥄵")
lftr ("崭露头角")
lfue ("罂粟花")
lfvv ("𥄢" "𣐥")
lfxk ("𥌿")
lfxn ("见票即付")
lfy ("𨜑")
lfz ("崾")
lfzm ("䁏")
lg ("具有")
lga ("岸" "𥅊")
lgaf ("罪大恶极")
lgaj ("𥇚")
lgb ("崖" "睚")
lgbb ("睚" "睳")
lgbc ("具有专长")
lgbj ("见左图")
lgbk ("𥇧")
lgbt ("悬而未决")
lgbz ("𥅚")
lgc ("𥆦")
lgd ("央")
lgdv ("央求")
lge ("𥇼")
lgf ("輋")
lgfa ("四面楚歌")
lgfn ("岩棉")
lgg ("顓" "颛")
lgga ("岩石")
lggd ("𥈇")
lggl ("𥋃")
lggs ("䁭")
lgh ("賑" "䀼")
lghl ("目不转睛")
lgi ("罘" "𧌪")
lgic ("岂有此理")
lgij ("贮存器")
lgir ("内存条")
lgiu ("用不着")
lgiv ("岸上")
lgjj ("见右图")
lgjk ("𥈅")
lgjn ("四面体")
lgjy ("具有国际先进水平" "𨜯")
lgk ("崦")
lgkd ("目不暇接" "𠜹")
lgkk ("瞭")
lgkz ("䁆")
lgl ("盎" "𥅡")
lglh ("崎岖")
lgll ("𥋢")
lglr ("贿赂" "𥉿")
lglz ("矋")
lgm ("眬")
lgmi ("𥌮")
lgmu ("财大气粗")
lgmv ("黑龙江")
lgmz ("周而复始")
lgnb ("默不作声")
lgnj ("内存储器")
lgnz ("𥉱")
lgo ("峽" "𥈗")
lgoi ("央行")
lgoo ("䀹")
lgos ("四面八方")
lgpd ("𥆙")
lgq ("賄" "贿" "𥆋")
lgr ("鸯" "鴦" "𪿏" "𥃺")
lgrg ("盎然")
lgs ("狊")
lgsn ("𩀎")
lgsq ("瞭望")
lgsr ("鶪" "䴗" "")
lgsy ("郹")
lgtl ("炭疽")
lgto ("罪有应得")
lgtr ("岩浆")
lgu ("炭")
lgub ("𥇝")
lguc ("𦎝" "𥈖")
lguo ("骨灰盒")
lgvk ("黑龙江省")
lgwl ("央视")
lgwu ("赈灾")
lgwy ("岸边")
lgx ("販")
lgxb ("岩层")
lgya ("盎司")
lgyz ("眱")
lh ("贱")
lha ("崴" "𥅜" "𥅛")
lhaj ("䁍")
lhak ("𥉷")
lhb ("眰")
lhbi ("䀴" "𥅞")
lhbs ("周转率")
lhc ("眶")
lhee ("黔东南苗族侗族自治州")
lhex ("贱卖")
lhg ("贼" "賊")
lhgd ("𥅯")
lhgj ("䁥")
lhh ("賤")
lhi ("岈")
lhj ("嶇")
lhja ("𥇿")
lhjj ("瞘")
lhk ("岽")
lhke ("黔东南")
lhkk ("山东省")
lhky ("黑匣子")
lhkz ("同轴电缆" "𥈔")
lhll ("𥍖")
lhm ("贱")
lhma ("𪿒")
lhml ("𥌈")
lho ("岖")
lhos ("眍")
lhp ("崭")
lhpd ("𥇢")
lhr ("嶜")
lhrk ("䁮")
lhsf ("崭新")
lhwz ("贼心")
lhx ("𥄷")
lhxb ("𥉸")
lhxt ("贱买")
lhxu ("㷡")
lhxx ("𥋀")
lhy ("𥆏")
lhyd ("䀙")
lhyj ("内切圆")
lhyl ("𥊱")
lhz ("眓")
lhzi ("盹")
li ("巾")
lia ("巘")
liac ("𪪎")
liae ("帲" "𢁗")
liaf ("帓")
liag ("幪" "𢄐" "𢃯")
liai ("帄" "𢃰" "𢁿")
liaj ("帢")
liak ("贴画")
lian ("帞" "𪪐")
liau ("𢄅")
liax ("𢁮")
liay ("㡢")
liaz ("𥄀")
libc ("同步增长")
libj ("𢅂" "𢄰" "𢃖")
libk ("𢅚" "𢂡")
libl ("幊" "𢄽")
libm ("帾")
libo ("㠸")
libr ("𢂮" "𢂢")
libw ("𢤖" "𢂴")
liby ("帏")
libz ("㡁" "𪪔" "𢁢")
lic ("帐" "帳")
licd ("帱" "𢁚")
lice ("𢃈")
lich ("帐" "帳")
licl ("幘" "帻")
licq ("𢃢")
licv ("贴现")
licx ("𢄸" "𢄣" "𢃣")
licz ("㡇" "𢃶")
lid ("𥃨")
lidr ("贴换")
lids ("𢁜")
lieb ("𢅔")
liec ("帺")
liee ("𢃲")
lief ("𢅿" "𢃱")
liek ("𢃟")
liel ("幩" "㡒" "𪪍" "𢃜")
lien ("贴花")
lieo ("𢂔")
lies ("𢂾")
lieu ("幠")
lifb ("幖")
liff ("𢅿")
lifl ("幱" "𢆄" "𢃿")
lifq ("𢄌")
lifz ("𢃽")
ligb ("𢄳")
ligd ("𢁖")
ligg ("𢃾")
ligh ("帪")
ligl ("𢁻")
ligo ("幁")
ligp ("㡎")
ligs ("𤜧")
ligv ("贴在")
ligy ("𢂕" "𢂒")
lih ("𥈴")
lihb ("𢂑")
lihe ("𢂵")
lihh ("帴")
lihj ("𢄛")
lihs ("幭")
lihy ("贴切")
lihz ("𢅶")
liib ("𢅔")
liij ("帖")
liik ("帧频")
liil ("帧" "幀" "𧖂")
liim ("𢂍")
liix ("𢁵")
liiy ("𢂣")
lij ("贴" "貼" "䀡")
lija ("幗" "𢃎")
lijb ("𥇞")
lijc ("帼")
lijd ("幬")
lijf ("幧")
lijg ("𢄵")
lijj ("𢄠")
lijk ("幅" "幜" "𢃮")
lijl ("𢅹" "𢄹" "𢄙")
lijm ("幃" "幥")
lijo ("帜")
lijq ("𢂱")
lijr ("帨" "㡈")
liju ("㡠" "㡧" "𢅱" "𢄜")
lijw ("㥈")
lik ("罩" "𢁯")
lika ("贴题" "㡨" "𩽟" "𢅒" "𢄶")
likb ("幢" "㡖" "𢃇")
like ("幛" "幝" "𪪌" "𥇍" "𢅀")
likf ("𢃦")
likg ("幌" "幙")
likh ("幟")
liki ("𢂎")
likk ("㡟" "𢆂" "𢄷" "𢃕" "𢃑")
likl ("帽" "矑" "㡦")
likm ("㠺")
liko ("𢄨")
likq ("帩" "㡌" "𢅆")
likr ("幆" "𥆩")
liku ("幞" "㡤" "𥋖")
likv ("贴水")
likw ("𥌠" "𢅪")
likz ("㡋" "㡞" "𢃗")
lil ("帧" "幀")
lila ("𢂉")
lilb ("㡚")
lilc ("䁦" "𢂈")
lild ("𢂶" "𢂓" "𢁶")
lilg ("㡕")
lilh ("𢅵")
lili ("𢁝")
lilj ("巾帼")
lilk ("𢅋")
lill ("𢅙")
lilo ("𢁩")
lilw ("幰")
lilx ("幔")
limb ("𢂧")
limg ("𢂮" "𢁱")
limi ("𢂃")
liml ("𢅡")
limo ("帙")
limq ("㠶")
lims ("㠷")
limu ("𢅑" "𢃸")
limx ("𢅖")
limz ("𢂳")
linc ("贴身")
lind ("𢂆")
line ("𢃍")
linh ("𢂌")
lini ("帷")
linj ("𢄊")
link ("帕" "𢅯")
linl ("𢅧")
linr ("𢅰" "𢂹")
linu ("𢄺")
linw ("贴息")
linx ("𢅻")
lioc ("𢆀" "𢂘")
lioe ("𢃒")
lioj ("𢂲")
liol ("𥌑")
lion ("㠹")
lioo ("𢅐" "𢃫" "𢃀" "𢂿")
liop ("幓" "𢄪")
lior ("𢆃" "𢅼")
lios ("幨")
liou ("𢅽")
lioy ("帉")
lioz ("𢃓" "𢁷")
lipa ("贴金")
lipd ("㠼" "𢁘")
lipi ("㡗")
lipk ("幡")
lipn ("幍")
lipr ("𢄃")
lipv ("𢁬")
liqd ("帆" "𢁒")
liqk ("㡐" "㡏")
liqm ("𢄻")
liqr ("𢆆")
lir ("眦")
lirb ("㡜")
lirc ("㡝")
lirf ("𥈐")
lirh ("𢁤")
lirj ("𢂁")
lirk ("㡄" "𢂥")
lirl ("𠕢")
lirm ("𣮳" "𢁞")
lirn ("㡊" "贴兜" "䶓")
liro ("𢃡" "𢁧")
lirr ("眦" "㠲" "㡅" "㡙" "𢅩" "𢄴" "𢃚" "𢁦")
lirs ("𢁕")
lirt ("㠽" "𢃠")
lirw ("幒")
lirx ("𢂰")
liry ("帵")
lirz ("𢄦" "𢄓")
lise ("帲")
lish ("𢁣")
lisk ("网上交易" "𢄈")
lism ("𢅎")
lisn ("㡆" "㡛")
liso ("幎")
lisq ("𢅃")
lisr ("罩衣")
lisu ("贴谱")
lisw ("𢃭" "𢂻")
lisx ("𢁮")
lisy ("𢁸")
lisz ("帹" "𢂩")
litf ("𢃅")
litm ("𢃨")
litv ("网上冲浪")
liud ("幮" "㡡" "𢅥")
liue ("帡" "幈")
liug ("𢅕")
liul ("贴着" "𢄑")
liuu ("𢃔")
liux ("㡘" "𢆁" "𢅳" "𢅏")
liuy ("𢃩")
liv ("𠕒")
livj ("见上图")
liwa ("𢁼")
liwb ("𢃐" "𢃏")
liwf ("㡓" "𢄱")
liwg ("幏")
liwh ("𢅣")
liwi ("贴补" "𢃙")
liwl ("𢅴" "𢅗" "𢄩" "𢃞")
liwm ("𢁽")
liwp ("贴近")
liwq ("𢅘")
liwr ("帎" "𥌋")
liws ("𢄎")
liwt ("罩裤")
liwy ("贴边" "𢃙")
liwz ("贴心")
lix ("𥅑" "𢅫")
lixd ("𪪉")
lixg ("𢾔" "𢁪")
lixh ("幄")
lixi ("帔" "𥈤" "𢅟")
lixj ("𪪈" "𢂽")
lixl ("𢄟" "𢃼")
lixm ("帿" "𪿔")
lixs ("帗" "𥄎" "𠬥")
lixw ("㡥")
lixy ("幯")
liyi ("帊")
liyj ("𢁾")
liyk ("𢃉")
liyl ("𢅭")
liyn ("𢄭" "𢂀")
liyr ("㡪")
liys ("㠴" "㼙" "𥌯" "𢁡")
liyu ("𪪑")
liyy ("贴己" "𢄒" "𢂐")
liyz ("𢁠")
lizf ("幉")
lizg ("𪪒")
lizi ("𥍗")
lizl ("𢅤" "𢄍")
lizm ("𢄯" "𢂝")
lizn ("㡃" "𢅾")
lizr ("𢅅" "𢁲")
lizw ("𢃧")
lizy ("𢂊" "𢂅")
lizz ("㡉" "𢂄")
lj ("周围")
lja ("咼")
ljaa ("咼")
ljal ("瞶" "瞆")
ljan ("𥆰")
ljao ("目中无人")
ljaz ("𪿓")
ljbr ("𠹬")
ljbz ("𪿖" "𥈭")
ljc ("睈")
ljce ("䁒")
ljcm ("𥍓")
ljdl ("贼喊捉贼")
lje ("崮")
ljf ("睏" "𥆫")
ljgo ("䫚")
ljh ("幗")
ljhc ("𥊬")
ljhm ("𢧘")
ljhr ("旤")
ljhz ("𥇈")
lji ("瞶" "𧎏" "𥄡")
ljin ("𥍃")
ljiw ("瞣")
ljj ("巖")
ljja ("𥊞")
ljjf ("矂")
ljjh ("峰回路转")
ljkd ("剮" "𠛰")
ljlo ("䁚")
ljmf ("𥇘")
ljne ("𠧅" "𠕩")
ljnj ("𥆻")
ljo ("帜")
ljq ("睊")
ljr ("贶" "貺")
ljrd ("眖")
ljro ("歄")
ljrw ("𢢸")
ljsx ("𥆽")
ljte ("𣂄")
ljw ("過")
ljwb ("周恩来")
ljwt ("幅员辽阔")
ljwz ("𪬢")
ljyk ("𥇂")
lk ("四")
lka ("皿" "𥅃")
lkaa ("罒")
lkad ("䵦" "𦊯" "𥇹")
lkae ("睅" "䍐" "䵟" "𦋁")
lkag ("𦊊" "𥁍")
lkah ("贩量式")
